state,county,population,land_area_km,density_km
Alabama,Autauga,54571,1540,35.436
Alabama,Baldwin,182265,4118,44.261
Alabama,Barbour,27457,2292,11.979
Alabama,Bibb,22915,1612,14.215
Alabama,Blount,57322,1670,34.325
Alabama,Bullock,10914,1613,6.766
Alabama,Butler,20947,2012,10.411
Alabama,Calhoun,118572,1569,75.572
Alabama,Chambers,34215,1545,22.146
Alabama,Cherokee,25989,1434,18.123
Alabama,Chilton,43643,1794,24.327
Alabama,Choctaw,13859,2366,5.858
Alabama,Clarke,25833,3208,8.053
Alabama,Clay,13932,1564,8.908
Alabama,Cleburne,14972,1451,10.318
Alabama,Coffee,49948,1759,28.396
Alabama,Colbert,54428,1535,35.458
Alabama,Conecuh,13228,2202,6.007
Alabama,Coosa,11539,1686,6.844
Alabama,Covington,37765,2669,14.149
Alabama,Crenshaw,13906,1577,8.818
Alabama,Cullman,80406,1903,42.252
Alabama,Dale,50251,1453,34.584
Alabama,Dallas,43820,2535,17.286
Alabama,DeKalb,71109,2013,35.325
Alabama,Elmore,79303,1602,49.502
Alabama,Escambia,38319,2448,15.653
Alabama,Etowah,104430,1386,75.346
Alabama,Fayette,17241,1626,10.603
Alabama,Franklin,31704,1642,19.308
Alabama,Geneva,26790,1488,18.004
Alabama,Greene,9045,1676,5.397
Alabama,Hale,15760,1668,9.448
Alabama,Henry,17302,1455,11.891
Alabama,Houston,101547,1502,67.608
Alabama,Jackson,53227,2792,19.064
Alabama,Jefferson,658466,2878,228.793
Alabama,Lamar,14564,1567,9.294
Alabama,Lauderdale,92709,1729,53.62
Alabama,Lawrence,34339,1789,19.195
Alabama,Lee,140247,1574,89.102
Alabama,Limestone,82782,1450,57.091
Alabama,Lowndes,11299,1854,6.094
Alabama,Macon,21452,1577,13.603
Alabama,Madison,334811,2076,161.277
Alabama,Marengo,21027,2530,8.311
Alabama,Marion,30776,1923,16.004
Alabama,Marshall,93019,1466,63.451
Alabama,Mobile,412992,3184,129.709
Alabama,Monroe,23068,2656,8.685
Alabama,Montgomery,229363,2031,112.931
Alabama,Morgan,119490,1500,79.66
Alabama,Perry,10591,1864,5.682
Alabama,Pickens,19746,2283,8.649
Alabama,Pike,32899,1741,18.897
Alabama,Randolph,22913,1504,15.235
Alabama,Russell,52947,1661,31.877
Alabama,St. Clair,83593,1637,51.065
Alabama,Shelby,195085,2033,95.959
Alabama,Sumter,13763,2341,5.879
Alabama,Talladega,82291,1908,43.129
Alabama,Tallapoosa,41616,1856,22.422
Alabama,Tuscaloosa,194656,3423,56.867
Alabama,Walker,67023,2049,32.71
Alabama,Washington,17581,2798,6.283
Alabama,Wilcox,11670,2301,5.072
Alabama,Winston,24484,1588,15.418
Alaska,Aleutians East,2938,18091,0.162
Alaska,Anchorage,291845,4421,66.013
Alaska,Bristol Bay,869,1248,0.696
Alaska,Denali,1860,32730,0.057
Alaska,Fairbanks North Star,95898,18998,5.048
Alaska,Haines,2516,6074,0.414
Alaska,Juneau,31986,7003,4.567
Alaska,Kenai Peninsula,58367,41499,1.406
Alaska,Ketchikan Gateway,13739,12580,1.092
Alaska,Kodiak Island,13001,17133,0.759
Alaska,Lake and Peninsula,1622,61914,0.026
Alaska,Matanuska-Susitna,106438,64012,1.663
Alaska,North Slope,9886,230053,0.043
Alaska,Northwest Arctic,7715,92369,0.084
Alaska,Petersburg,3226,7514,0.429
Alaska,Sitka,8532,7433,1.148
Alaska,Skagway,1095,1124,0.974
Alaska,Unorganized,76534,764443,0.1
Alaska,Wrangell,2400,6620,0.363
Alaska,Yakutat,540,19743,0.027
Arizona,Apache,71887,29054,2.474
Arizona,Cochise,125922,16107,7.818
Arizona,Coconino,143476,48332,2.969
Arizona,Gila,54018,12422,4.349
Arizona,Graham,38837,12020,3.231
Arizona,Greenlee,9498,4786,1.985
Arizona,La Paz,21108,11689,1.806
Arizona,Maricopa,4485414,23890,187.753
Arizona,Mohave,212181,34887,6.082
Arizona,Navajo,110924,25794,4.3
Arizona,Pima,1047279,23799,44.005
Arizona,Pinal,462789,13919,33.249
Arizona,Santa Cruz,46498,3206,14.503
Arizona,Yavapai,235099,21051,11.168
Arizona,Yuma,213787,14294,14.956
Arkansas,Arkansas,19019,2678,7.102
Arkansas,Ashley,21853,2432,8.986
Arkansas,Baxter,41513,1520,27.311
Arkansas,Benton,221339,2292,96.57
Arkansas,Boone,36903,1559,23.671
Arkansas,Bradley,11508,1695,6.789
Arkansas,Calhoun,5368,1638,3.277
Arkansas,Carroll,27446,1655,16.584
Arkansas,Chicot,11800,1789,6.596
Arkansas,Clark,22995,2286,10.059
Arkansas,Clay,16083,1661,9.683
Arkansas,Cleburne,25970,1533,16.941
Arkansas,Cleveland,8689,1551,5.602
Arkansas,Columbia,24552,1986,12.363
Arkansas,Conway,21273,1468,14.491
Arkansas,Craighead,96443,1847,52.216
Arkansas,Crawford,61948,1565,39.583
Arkansas,Crittenden,50902,1649,30.868
Arkansas,Cross,17870,1612,11.086
Arkansas,Dallas,8116,1731,4.689
Arkansas,Desha,13008,2123,6.127
Arkansas,Drew,18509,2164,8.553
Arkansas,Faulkner,113237,1720,65.835
Arkansas,Franklin,18125,1605,11.293
Arkansas,Fulton,12245,1607,7.62
Arkansas,Garland,96024,1903,50.459
Arkansas,Grant,17853,1639,10.893
Arkansas,Greene,42090,1501,28.041
Arkansas,Hempstead,22609,1920,11.776
Arkansas,Hot Spring,32923,1611,20.436
Arkansas,Howard,13789,1542,8.942
Arkansas,Independence,36647,1998,18.342
Arkansas,Izard,13696,1513,9.052
Arkansas,Jackson,17997,1661,10.835
Arkansas,Jefferson,77435,2366,32.728
