state,state_house_blue_perc,state_governor_party
Alabama,22.86,red
Alaska,35.0,red
Arizona,43.33,red
Arkansas,25.71,red
California,72.5,blue
Colorado,54.29,blue
Connecticut,61.11,blue
Delaware,57.14,blue
Florida,42.5,red
Georgia,37.5,red
Hawaii,96.0,blue
Idaho,20.0,red
Illinois,67.8,blue
Indiana,20.0,red
Iowa,36.0,red
Kansas,27.5,blue
Kentucky,23.68,blue
Louisiana,30.77,blue
Maine,60.0,blue
Maryland,68.09,red
Massachusetts,85.0,red
Michigan,42.11,blue
Minnesota,47.76,blue
Mississippi,30.77,red
Missouri,29.41,red
Montana,40.0,blue
Nevada,61.9,blue
New Hampshire,58.33,red
New Jersey,62.5,blue
New Mexico,61.9,blue
New York,63.49,blue
North Carolina,42.0,blue
North Dakota,21.28,red
Ohio,27.27,red
Oklahoma,18.75,red
Oregon,60.0,blue
Pennsylvania,44.0,blue
Rhode Island,86.84,blue
South Carolina,41.3,red
South Dakota,14.29,red
Tennessee,15.15,red
Texas,38.71,red
Utah,20.69,red
Vermont,73.33,red
Virginia,52.5,blue
Washington,59.18,blue
West Virginia,41.18,red
Wisconsin,42.42,blue
Wyoming,10.0,red
