state,county,state_house_blue_perc,density_km,days_counted,case_count_28_days,death_count_28_days,confirmed_infection(%_of_pop),death_perc(%_of_case),avg_daily_case_increase(%_of_pop),case_count_28_days(%_of_pop),death_count_28_days(%_of_case),years_of_potential_life_lost_rate,percent_fair_or_poor_health,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_driving_deaths_with_alcohol_involvement,chlamydia_rate,teen_birth_rate,percent_uninsured,primary_care_physicians_rate,dentist_rate,mental_health_provider_rate,preventable_hospitalization_rate,percent_with_annual_mammogram,percent_vaccinated,high_school_graduation_rate,percent_some_college,labor_force,percent_unemployed,percent_children_in_poverty,80th_percentile_income,20th_percentile_income,percent_single_parent_households,social_association_rate,injury_death_rate,average_daily_pm2_5,presence_of_water_violation,percent_severe_housing_problems,severe_housing_cost_burden,overcrowding,inadequate_facilities,percent_drive_alone_to_work,percent_long_commute_drives_alone,life_expectancy,age_adjusted_death_rate,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_limited_access_to_healthy_foods,percent_insufficient_sleep,percent_uninsured_2,percent_uninsured_3,other_primary_care_provider_rate,median_household_income,household_income_white,segregation_index_2,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_american_indian_alaska_native,percent_asian,percent_native_hawaiian_other_pacific_islander,percent_hispanic,percent_non_hispanic_white,percent_not_proficient_in_english,percent_female,percent_rural
Alabama,Autauga,22.86,35.436,45,61,3,0.1227758333180627,5.970149253731343,0.0027283518515125046,0.11178098257316156,4.918032786885246,8128.5911903,20.882987328,8.6195286195,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,26.785714285999997,407.2,25.284927164000003,8.7216859511,45.0418,32.37352,23.38087,7108.0,41.0,41.0,90.0,62.009973681000005,25957.0,3.6290788612,19.3,110026.0,21019.0,26.242679081,12.071202075999999,68.526994226,11.7,f,14.663461538,12.826718296,1.2019230769,1.3461538462,86.523661372,39.6,76.879477172,417.54755051,13.685228616,14.129346649,11.1,13.2,11.991125,35.905406064,11.14898915,2.6691540504,39.56763,59338.0,65047.0,23.628395199,88.457040416,74.894624674,13.403481167999999,23.67403464,15.562669735999998,19.343177281,0.4802071905,1.2247981151,0.1115087858,2.9657739969,74.308016043,0.8202245028,51.44871495100001,42.002162321
Alabama,Baldwin,22.86,44.261,55,168,3,0.11411955120291883,2.403846153846154,0.0020749009309621604,0.09217348366389597,1.7857142857142856,7354.122529800001,17.50913436,8.3450031827,17.489032597,31.0,8.0,26.5,73.713548953,17.958310103,30.769230769,325.0,27.88069221,11.333404467000001,72.89726999999999,49.53629,96.32055,4041.0,43.0,44.0,86.361576801,67.371619818,93849.0,3.6153821564,13.9,111447.0,25227.0,24.139601453,10.205617322,72.385053972,10.3,f,13.566200931,12.277388019000002,1.2707917498,0.4790419162,84.282432728,41.7,78.45025836800001,353.34311052,12.480107670999999,13.475335559000001,10.7,11.6,5.424426597,33.305868141,14.348524769,3.5387632910000004,55.95766,57588.0,59418.0,31.825343230999998,86.997429882,73.61934318600001,11.725807954,21.607911128,20.443349754,8.783975929,0.7723991157,1.150342626,0.0669657191,4.646778765400001,83.111337388,0.5435169824,51.538376861,42.279099114
Alabama,Calhoun,22.86,75.572,51,93,3,0.1037344398340249,2.4390243902439024,0.0020340086241965667,0.07843335694767736,3.225806451612903,12078.616145,23.107733221,9.1613736678,20.612560375,38.5,6.9,31.7,47.72121580100001,13.842230147,18.75,654.6,33.534616991,11.929167524,63.62876,58.62947,115.50881000000001,6581.0,32.0,38.0,92.368045649,59.243988636000005,45972.0,4.6528321587,26.5,90822.0,18078.0,40.191944746,14.469004950999999,89.541547278,11.8,f,13.734191258,11.824932493,1.5420457067,0.8431329044,84.809213736,31.2,73.039108585,574.56384163,14.75440129,15.191507387,17.5,15.7,9.178566583,41.314343982,15.388687124,2.4385508484000002,56.00427,45400.0,51481.0,40.68118287,109.89916308,69.473497213,11.722432218,21.609772745,17.717475957999998,20.850214829000002,0.5399161686,0.9643235297,0.1102584072,3.9106731888,72.024991906,0.9913761333,51.946585927,33.696825557
Alabama,Chambers,22.86,22.146,50,294,21,0.9089580593307028,6.752411575562702,0.018179161186614057,0.8592722490135905,7.142857142857142,11112.536614,23.995473603,12.213740458,19.392927053,40.1,6.4,30.1,61.86467923399999,12.745734617,28.571428571,611.0,45.441001191999995,11.938076809000002,41.52701,17.84917,5.94972,5622.0,38.0,42.0,86.23853211,48.460334028999995,15276.0,3.9080911232999997,30.7,80754.0,17019.0,46.555443693,17.79728888,81.478420027,11.4,f,15.956678699999998,12.377079482000001,4.036101083,0.9386281588,85.252848013,31.8,74.291076031,511.62651724,15.247787308,15.49667308,19.9,17.9,10.328558281,37.266574786999996,15.226316844000001,2.5387676685,14.874310000000001,39917.0,48000.0,25.672844447,20.271586909,67.7641314,12.381027919000001,20.800237989,19.521047152,39.565670088000005,0.3064108285,1.3267886359999999,0.0446229362,2.5613565373,55.231295553,0.1129376333,52.125539194,49.148034488
Alabama,Cullman,22.86,42.251999999999995,49,58,0,0.07710867348207845,0.0,0.0015736463975934377,0.07213392035420242,0.0,10182.18218,21.786493693,8.32852194,17.901071221,36.9,8.2,36.7,41.65360794,14.887181459,30.4,233.2,41.728234529,12.658246768,55.58577,49.13593,135.42341000000002,6442.0,44.0,41.0,90.51987767600001,50.378489972,37830.0,3.2804652392,19.7,86556.0,19514.0,25.417530836999997,11.721346142,100.73744666,11.6,f,12.306949807,10.144206862,1.7535392534999998,1.2065637066,87.56887474,32.9,74.539745814,493.62351555,13.856322167,14.655047387,19.3,11.8,3.1096062497,35.374266463000005,16.221000844000002,3.3864852231,86.28748,45796.0,43054.0,24.178496341,51.370290123000004,74.581841848,9.941378473099999,22.47908727,18.511061576,1.2056278613,0.6459576712,0.6723232904,0.0862874811,4.4330193428,91.85542053200001,0.5780122585,50.570456125,73.239559237
Alabama,Elmore,22.86,49.501999999999995,56,79,1,0.16392822465732695,3.076923076923077,0.0029272897260236956,0.09961792113791408,1.2658227848101267,8762.552569299998,18.633862824,9.2389649924,17.45250185,34.3,7.6,26.4,51.730703756000004,15.852900191,37.974683544,538.7,29.685980667,8.655716446900001,25.711029999999997,15.875539999999999,17.096729999999997,6334.0,43.0,39.0,86.157253599,54.726881335,37215.0,3.4475345963,16.3,108702.0,24801.0,31.288883995,10.896580432999999,79.93957941,11.9,f,11.370716511,9.717097171,1.1422637591,0.7615091727,86.742897981,46.1,75.911969236,431.00084919,12.636791525,13.829246579000001,15.8,13.3,6.9430217138,38.424326238,11.002439755,2.7487601562,37.85705,60367.0,64693.0,26.136485956999998,57.06195386899999,73.705521051,10.283266746,22.239183265,15.142818762000001,21.214600607999998,0.5190079011,0.7095143306999999,0.1160135308,3.0126882167,72.99205002,0.6655682829,51.658993491000004,54.18836614
Alabama,Franklin,22.86,19.308,46,164,1,0.637143578097401,0.49504950495049505,0.013850947349943498,0.517284885187989,0.6097560975609756,10155.227272,25.368021469000002,9.9458728011,19.250583044000003,34.3,7.9,38.1,58.147236942,13.37365231,11.428571429000002,263.5,47.357482185,15.303450400000001,44.4515,25.50776,9.56541,8122.0,32.0,38.0,92.10526315799999,41.067168864,14203.0,3.7316059987,30.1,80837.0,18366.0,42.277992278,9.5253214796,83.659202829,10.5,f,12.954253955,8.6002632734,4.1043180847,0.9405728944,83.211964607,37.6,74.646282685,491.58102343,15.936413647,16.138128016,14.8,12.9,4.1206193939,38.420667793,19.867693309,4.2582764720999995,51.01553,39388.0,40878.0,51.007297007,40.926371899,70.561998216,7.8846522322000006,24.535280426,16.886139719000003,3.8835570576999996,1.546408188,0.3411663425,0.2487006983,17.750215222,76.175748493,5.133267522200001,49.54883142600001,70.36651526600001
Alabama,Houston,22.86,67.608,46,99,4,0.10044609885077845,3.9215686274509802,0.0021836108445821402,0.09749180182575556,4.040404040404041,9647.190511499999,20.269797095,10.519366197,19.249782785,38.1,7.1,30.6,66.544555723,13.523701774000001,25.0,588.4,35.071942446,11.070223497,84.33481,66.84364000000001,144.19128999999998,4859.0,42.0,45.0,90.917431193,59.288537549,45150.0,4.0420819491,21.9,95176.0,18511.0,42.250425117,11.979376305999999,72.67636963300001,10.7,f,13.451035184,12.369032257999999,1.2193572971,0.4064524324,88.400027456,25.8,75.866636949,440.51539181,14.370453243,15.19766223,13.5,16.5,6.2826059381,37.046311965,14.437049452,2.4494228371,161.37965,47993.0,54264.0,43.911412844,139.95730138,65.57715333899999,12.380573248,23.032409618000003,17.798552358,26.919844923000003,0.5404786005,1.0599491988,0.09453600960000001,3.4386279865,66.318443116,0.592784557,51.981436565,33.804051326
Alabama,Jackson,22.86,19.064,49,50,2,0.11084599921092678,3.389830508474576,0.002262163249202587,0.0939372874668871,4.0,11088.146204,23.244761808000003,8.948035488,19.958920884,38.7,7.9,29.1,47.190335732,13.492016278,25.0,263.9,38.678712592,13.050941708,53.94055,34.79202,46.389359999999996,5903.0,42.0,42.0,90.11725293100001,44.67778134,23241.0,4.109117507900001,26.8,78124.0,15499.0,30.896800361,9.054306575,96.21761280700001,11.0,f,10.804712961,8.2136375421,2.0305841063,1.0278265229,86.298609712,37.1,73.807252187,550.53203392,15.305830408,15.802853612,16.5,13.6,3.2725105417,38.042657969000004,16.490472461,3.3892321270999997,61.85248000000001,41929.0,40172.0,22.512196287,29.91325272,74.090953166,10.335556034,20.886809958,20.049868563,3.413483841,1.6816143497999998,0.5856656873,0.1101747333,2.9534560074000002,89.06757383600001,0.44421005659999996,50.923921447,77.017303248
Alabama,Jefferson,22.86,228.793,56,839,33,0.1661437340728299,5.393053016453382,0.002966852394157677,0.12741736095713369,3.9332538736591176,10969.508203,19.696302144,11.328534030999998,17.622045263,34.6,6.3,30.1,78.627749952,14.68864353,16.152019002,914.9,29.51960335,10.049484847,107.5551,88.27544,176.85424,4653.0,43.0,44.0,88.73381114,68.1047602,314014.0,3.7116179532999998,22.6,107340.0,20100.0,42.576156874,14.441813297000001,97.26665248100001,13.4,f,16.762486868,15.387608965999998,1.3752268169,0.9282781014,83.718694322,33.1,74.671162642,500.81878142,13.711108039,14.568215269000001,12.9,17.8,12.271590614,36.345132637,12.695996769,3.1283384604,143.33383999999998,55013.0,68571.0,60.312249375,419.07184692,62.799129248,15.13814359,22.762172001,15.857272865,43.126042773,0.2869710299,1.7709692097999998,0.0570301835,3.9808888215,49.699833156000004,1.2296004729999999,52.739117246000006,9.833765145
Alabama,Lauderdale,22.86,53.62,49,61,2,0.09384202181018024,2.2988505747126435,0.0019151433022485762,0.06579727966001143,3.278688524590164,9035.0572587,20.125833414000002,9.8630989421,16.6560043,32.5,7.6,28.5,65.492023428,13.74675543,25.301204819000002,427.9,22.771870579,11.285158773,50.78995,55.202569999999994,154.78368,5323.0,40.0,49.0,94.385285576,59.327000331,42141.0,4.1906931492,17.9,89714.0,19834.0,32.681518601,14.804728868,77.764696988,11.0,f,12.591240875999999,11.221384147,1.2122002085999999,0.6386861314,88.04792962200001,29.0,76.16952604800001,448.1761694,14.096890607999999,14.570509027,13.8,14.0,5.0380740879,35.058161009,14.070305780999998,3.0686014458999997,82.26266,48707.0,48392.0,43.609648317,108.45939758,68.484187568,10.913238244,19.665104398,20.092653728,9.8931667875,0.4513622046,0.7663415848999999,0.0562849752,2.8618745062,84.604976891,0.5737117099,52.020305887,49.295106192
Alabama,Lee,22.86,89.102,54,377,25,0.2987586187226821,7.159904534606206,0.005532567013383002,0.2688114540774491,6.631299734748011,6973.4502895,21.463907829,8.6847121616,17.560140407000002,29.9,6.4,21.3,67.74904276,15.747603232000001,28.735632184,324.2,16.500086162,10.350184992,52.59771,29.8888,86.00655,4208.0,37.0,42.0,91.14302812700001,72.652780087,74654.0,3.6207035122000004,19.3,103546.0,16341.0,35.808218376,8.044355337699999,57.553305922,12.1,t,19.231433506,17.561580719000002,1.9861830743,0.6822107081000001,84.423154135,28.0,78.225980277,356.37386853,13.829124488,14.72367357,9.0,17.0,12.249503723,36.567048095,12.776888497,3.1442869058,57.3377,48937.0,56733.0,30.178651198,120.03427766,60.332137503999995,17.499911294,21.283876517,11.882933494000001,22.777096638000003,0.37269505490000004,4.194191812900001,0.09027637990000001,3.7598892283999996,67.476104208,1.1737935084,50.812182431000004,27.409498955
